,stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
0,20230331,88600,89200,89500,87600,2676327,236686923700,00,0.00,N,5,-200,
1,20230330,88800,89900,90500,87700,4264354,379967206900,05,0.00,N,2,1900,
2,20230329,86900,87400,88700,86500,3070422,267552516300,00,0.00,N,5,-1500,
3,20230328,88400,85300,88700,85200,3180431,277976981700,00,0.00,N,2,2900,
4,20230327,85500,87500,87800,84700,3211190,275196944500,00,0.00,N,5,-1800,
5,20230324,87300,89100,90700,86700,4670908,412119310916,00,0.00,N,5,-1200,
6,20230323,88500,85400,88500,85100,3091673,269658409250,00,0.00,N,2,1600,
7,20230322,86900,85200,87300,83800,2667268,228244628000,00,0.00,N,2,3300,
8,20230321,83600,84100,85100,82900,1880231,157972273100,00,0.00,N,5,-100,
9,20230320,83700,83800,85100,83000,2223378,186420482200,00,0.00,N,5,-300,
10,20230317,84000,81200,84800,81100,6239588,519703504600,00,0.00,N,2,5000,
11,20230316,79000,76700,80200,76700,4804196,379790459748,00,0.00,N,5,-100,
12,20230315,79100,81900,82300,78800,5357314,430419363094,00,0.00,N,5,-2000,
13,20230314,81100,82600,83000,81100,3359381,274475371900,00,0.00,N,5,-3200,
14,20230313,84300,83200,84700,82400,2860341,239400949084,00,0.00,N,2,1000,
15,20230310,83300,83800,84400,83100,3559824,297865253747,00,0.00,N,5,-2300,
16,20230309,85600,87300,87800,85300,3315016,284818757400,00,0.00,N,5,-1200,
17,20230308,86800,87700,87800,86400,2790989,242544472500,00,0.00,N,5,-2100,
18,20230307,88900,89700,90000,88800,1610948,143989253400,00,0.00,N,5,-800,
19,20230306,89700,87900,89800,87500,2374415,211094486100,00,0.00,N,2,2400,
20,20230303,87300,88500,89200,87200,2239958,196557947200,00,0.00,N,5,-800,
21,20230302,88100,89400,90300,87500,2744038,243438501500,00,0.00,N,5,-1300,
22,20230228,89400,91000,91000,88700,2082486,186728994200,00,0.00,N,5,-600,
23,20230227,90000,90100,90300,89100,1893345,169778834100,00,0.00,N,5,-1000,
24,20230224,91000,93500,94000,91000,2496352,230723303704,00,0.00,N,5,-1700,
25,20230223,92700,90000,93700,89600,3659678,336914485600,00,0.00,N,2,3600,
26,20230222,89100,89900,90300,88500,2301835,205245475100,00,0.00,N,5,-2100,
27,20230221,91200,92500,92600,90900,1477419,135024242700,00,0.00,N,5,-1300,
28,20230220,92500,92700,93300,90700,1774617,163772334670,00,0.00,N,2,500,
29,20230217,92000,91400,92700,90900,1691509,155523968551,00,0.00,N,5,-900,
30,20230216,92900,91900,93400,91600,1812496,167987099000,00,0.00,N,2,1200,
31,20230215,91700,93800,94200,91200,1801577,165824028298,00,0.00,N,5,-1700,
32,20230214,93400,91800,93500,91600,2185525,202966243344,00,0.00,N,2,2800,
33,20230213,90600,92000,92000,89900,3159031,286254901000,00,0.00,N,5,-2900,
34,20230210,93500,94300,94700,93100,1971090,185026575400,00,0.00,N,5,-900,
35,20230209,94400,94800,94800,92600,2726568,255614856068,00,0.00,N,5,-500,
36,20230208,94900,91700,95000,91600,3964981,371349774862,00,0.00,N,2,4100,
37,20230207,90800,88800,91200,88800,2166265,195573743700,00,0.00,N,2,1700,
38,20230206,89100,91400,92000,89100,2819903,254020949707,00,0.00,N,5,-3100,
39,20230203,92200,92400,93200,91300,2925123,269612957640,00,0.00,N,5,-1200,
40,20230202,93400,94900,94900,92700,4350607,408022126000,00,0.00,N,2,2000,
41,20230201,91400,91200,91400,88500,3889171,350718422181,00,0.00,N,2,2900,
42,20230131,88500,90800,90800,86800,5185088,458628061505,00,0.00,N,5,-2200,
43,20230130,90700,91300,91600,90000,2603297,235870829400,00,0.00,N,5,-800,
44,20230127,91500,91300,92800,90300,2553811,234318676392,00,0.00,N,5,-800,
45,20230126,92300,90800,92300,90100,2319962,212172234400,00,0.00,N,2,900,
46,20230125,91400,92000,92000,90600,3611901,330045592500,00,0.00,N,2,3800,
47,20230120,87600,86300,87800,86100,2386074,207492408800,00,0.00,N,2,2100,
48,20230119,85500,84000,85800,84000,1674834,142678369200,00,0.00,N,2,400,
49,20230118,85100,86400,86500,84500,1494262,127203930200,00,0.00,N,5,-900,
50,20230117,86000,86400,87200,85700,1586136,136762882075,00,0.00,N,2,200,
51,20230116,85800,86000,86500,84900,1512876,129809226600,00,0.00,N,2,100,
52,20230113,85700,86800,87500,85400,2058890,177934277900,00,0.00,N,5,-1100,
53,20230112,86800,88100,88100,85800,3065582,265514341800,00,0.00,N,5,-500,
54,20230111,87300,87800,88400,86500,3083961,269531771800,00,0.00,N,2,800,
55,20230110,86500,85500,87200,85000,3105311,268141293128,00,0.00,N,2,500,
56,20230109,86000,84900,86000,83500,3948670,336551433700,00,0.00,N,2,2900,
57,20230106,83100,81400,83600,81100,3687430,305364269050,00,0.00,N,2,1700,
58,20230105,81400,83300,83300,80800,3510964,287338025380,00,0.00,N,2,400,
59,20230104,81000,75400,81900,75200,5154609,411463313200,00,0.00,N,2,5400,
60,20230103,75600,75600,76300,73100,2719437,203401949925,00,0.00,N,5,-100,
61,20230102,75700,75100,76700,75000,1376985,104385549300,00,0.00,N,2,700,
62,20221229,75000,75200,75600,74700,1736661,130328025000,00,0.00,N,5,-1000,
63,20221228,76000,76800,77000,75400,1891221,143606781400,02,0.00,N,5,-1000,
64,20221227,77000,77500,77600,76500,1694225,130482411200,00,0.00,N,3,0,
65,20221226,77000,77700,77700,76500,1414717,109027729300,00,0.00,N,5,-800,
66,20221223,77800,77800,78300,77300,1554446,120957863400,00,0.00,N,5,-1400,
67,20221222,79200,78500,79300,77900,2061883,162399818300,00,0.00,N,2,1200,
68,20221221,78000,78500,79200,78000,1513864,118631570500,00,0.00,N,5,-300,
69,20221220,78300,78200,78900,77800,1361926,106598485400,00,0.00,N,5,-700,
70,20221219,79000,78300,80100,78300,1813544,143667793100,00,0.00,N,2,600,
71,20221216,78400,77700,79400,77500,3827227,300436871699,00,0.00,N,5,-1800,
72,20221215,80200,80600,81100,79900,1713617,137744973300,00,0.00,N,5,-1600,
73,20221214,81800,82100,82600,81100,2357491,192626410600,00,0.00,N,5,-500,
74,20221213,82300,81300,82700,80500,2761104,225567255000,00,0.00,N,2,1200,
75,20221212,81100,80100,81300,79500,1242007,100209141200,00,0.00,N,5,-400,
76,20221209,81500,79400,81500,79300,2985508,240904110800,00,0.00,N,2,2700,
77,20221208,78800,78200,79800,78200,3809847,300349172100,00,0.00,N,5,-100,
78,20221207,78900,79900,80700,78700,3589926,284643046300,00,0.00,N,5,-2100,
79,20221206,81000,79900,81100,79800,2781352,223988414410,00,0.00,N,3,0,
80,20221205,81000,81900,82300,80700,3516456,286141303500,00,0.00,N,5,-900,
81,20221202,81900,83900,83900,81800,4594058,379357522580,00,0.00,N,5,-2800,
82,20221201,84700,87300,87300,84600,2878591,247276783100,00,0.00,N,5,-300,
83,20221130,85000,83200,85400,83100,3332708,282110177452,00,0.00,N,2,1300,
84,20221129,83700,82700,83800,82100,1501783,125168335400,00,0.00,N,2,600,
85,20221128,83100,84100,84200,82900,2471506,205831023300,00,0.00,N,5,-2000,
86,20221125,85100,87200,87300,85100,1439011,123372985900,00,0.00,N,5,-1800,
87,20221124,86900,86900,87200,85700,2148255,185804986018,00,0.00,N,2,1700,
88,20221123,85200,86100,86700,84900,1480400,126638514702,00,0.00,N,3,0,
89,20221122,85200,85500,86600,84900,1617131,138259167400,00,0.00,N,5,-1100,
90,20221121,86300,87600,87700,86100,2111523,182763598700,00,0.00,N,5,-2100,
91,20221118,88400,88700,91500,88100,2981192,267105986700,00,0.00,N,2,700,
92,20221117,87700,82400,88500,82000,3703870,323608613600,00,0.00,N,5,-3800,
93,20221116,91500,92000,92400,90300,2609199,238677656700,00,0.00,N,5,-100,
94,20221115,91600,91300,92100,90400,2460465,224722829263,00,0.00,N,2,700,
95,20221114,90900,93900,93900,90900,2483441,227841495800,00,0.00,N,5,-2600,
96,20221111,93500,95200,95300,92500,5002149,468889493882,00,0.00,N,2,4400,
97,20221110,89100,89000,90800,88300,3856811,345585623552,00,0.00,N,5,-100,
98,20221109,89200,88100,89200,86600,2619752,231597454400,00,0.00,N,2,1500,
99,20221108,87700,87600,89000,87400,2799575,246892477700,00,0.00,N,2,1200,
100,20221107,86500,85400,86800,85000,2765284,238246097100,00,0.00,N,2,2000,
101,20221104,84500,82700,84600,81700,3032985,252333968000,00,0.00,N,2,1800,
102,20221103,82700,82600,83500,81900,2901380,240312463400,00,0.00,N,5,-1800,
103,20221102,84500,84200,85500,83600,2536363,215008401184,00,0.00,N,2,600,
104,20221101,83900,82700,83900,81400,3820185,316973841612,00,0.00,N,2,1200,
105,20221031,82700,84300,85400,82400,6271574,524946910700,00,0.00,N,5,-700,
106,20221028,83400,87100,87800,83000,7748514,658733740180,00,0.00,N,5,-6600,
107,20221027,90000,95100,95100,89800,4550273,417479104112,00,0.00,N,5,-3900,
108,20221026,93900,93300,95500,93200,3310322,313156219700,00,0.00,N,2,400,
109,20221025,93500,91900,94800,91000,2656194,248751488800,00,0.00,N,2,1700,
110,20221024,91800,92200,93100,91200,2165991,199715515400,00,0.00,N,2,1300,
111,20221021,90500,89800,91400,89700,2206754,200305713600,00,0.00,N,2,300,
112,20221020,90200,91000,91800,89000,4547678,409443868100,00,0.00,N,5,-2700,
113,20221019,92900,94700,94900,92700,3684934,344615733005,00,0.00,N,5,-2900,
114,20221018,95800,95900,96200,94600,2618680,249330141200,00,0.00,N,2,600,
115,20221017,95200,94600,95300,94000,2134558,202198364600,00,0.00,N,5,-300,
116,20221014,95500,96000,96600,94300,3516437,334828561464,00,0.00,N,2,600,
117,20221013,94900,93400,94900,92800,4390570,413619747582,00,0.00,N,2,900,
118,20221012,94000,91000,94000,90900,4648231,430456023300,00,0.00,N,2,3800,
119,20221011,90200,89700,91200,88000,3840842,344912165400,00,0.00,N,5,-1000,
120,20221007,91200,89600,91800,87800,3100583,280262013777,00,0.00,N,2,1300,
121,20221006,89900,90900,92000,89800,3039698,275694996677,00,0.00,N,2,100,
122,20221005,89800,90000,90400,88100,5927256,529349727543,00,0.00,N,2,3600,
123,20221004,86200,85200,87200,85200,4277404,369025972586,00,0.00,N,2,3100,
124,20220930,83100,80900,83900,80400,4711130,389466671870,00,0.00,N,2,2300,
125,20220929,80800,82500,82900,80500,2064798,168860306500,05,0.00,N,5,-400,
126,20220928,81200,81900,83500,80500,3068181,250759550200,00,0.00,N,5,-800,
127,20220927,82000,82200,82700,80700,2606333,212481807800,00,0.00,N,5,-500,
128,20220926,82500,81500,83200,81500,3281145,270406192400,00,0.00,N,5,-1000,
129,20220923,83500,85500,86600,83300,3932242,331082832100,00,0.00,N,5,-2500,
130,20220922,86000,86300,86900,85900,2204430,190097055600,00,0.00,N,5,-2000,
131,20220921,88000,87500,88500,86300,2954420,258367974050,00,0.00,N,3,0,
132,20220920,88000,89000,90600,87500,4259789,377081451100,00,0.00,N,5,-2000,
133,20220919,90000,90800,91500,90000,2078633,187933896900,00,0.00,N,5,-1200,
134,20220916,91200,90900,91400,90000,2243179,202932180200,00,0.00,N,5,-800,
135,20220915,92000,92900,93000,91500,1755820,161780125750,00,0.00,N,5,-1000,
136,20220914,93000,91700,93400,91300,2444928,225687228700,00,0.00,N,5,-1800,
137,20220913,94800,91700,95200,91700,3288428,307822983700,00,0.00,N,2,4400,
138,20220908,90400,90500,91000,90000,2012123,181857897400,00,0.00,N,3,0,
139,20220907,90400,91100,91100,89900,2053413,185294122800,00,0.00,N,5,-1400,
140,20220906,91800,91900,92900,91100,1389821,127635016700,00,0.00,N,2,700,
141,20220905,91100,91800,92400,90400,1706148,155580540800,00,0.00,N,5,-600,
142,20220902,91700,92700,93300,91600,2036818,187983351400,00,0.00,N,5,-700,
143,20220901,92400,93900,93900,92300,2337521,216798395700,00,0.00,N,5,-2800,
144,20220831,95200,92600,95500,92100,2421669,228286190480,00,0.00,N,2,2000,
145,20220830,93200,92700,93400,92400,1595242,148058566200,00,0.00,N,2,700,
146,20220829,92500,92700,93300,92000,2619260,241961435200,00,0.00,N,5,-2600,
147,20220826,95100,95400,96800,94700,2301949,219965058400,00,0.00,N,2,1000,
148,20220825,94100,93600,94100,92100,2189458,204612857400,00,0.00,N,2,900,
149,20220824,93200,93900,94200,93000,1447036,135255103300,00,0.00,N,5,-400,
150,20220823,93600,94100,95400,93600,1932822,182136272000,00,0.00,N,5,-1600,
151,20220822,95200,95200,95600,94000,2293601,217611164989,00,0.00,N,5,-1200,
152,20220819,96400,97000,97500,95900,1890839,183002249900,00,0.00,N,2,700,
153,20220818,95700,95900,96400,95300,1889587,180883903300,00,0.00,N,5,-1400,
154,20220817,97100,96800,97600,95900,1764674,170779402300,00,0.00,N,2,400,
155,20220816,96700,94500,97600,94400,4267280,411907055726,00,0.00,N,2,3400,
156,20220812,93300,92800,94400,92600,1910127,178991479200,00,0.00,N,3,0,
157,20220811,93300,93500,94400,92600,5206962,486250440600,00,0.00,N,2,1500,
158,20220810,91800,91800,93000,91800,4356568,401100880900,00,0.00,N,5,-3300,
159,20220809,95100,96000,96100,94500,3152955,299582643300,00,0.00,N,5,-1200,
160,20220808,96300,97700,97700,95800,3206548,308609577400,00,0.00,N,5,-2200,
161,20220805,98500,98100,98700,97400,2052852,201487221500,00,0.00,N,2,1000,
162,20220804,97500,98000,98100,97100,1960526,191399858800,00,0.00,N,3,0,
163,20220803,97500,96900,97500,96100,1703330,165151135000,00,0.00,N,2,1000,
164,20220802,96500,97200,97200,96200,1916851,185073501100,00,0.00,N,5,-600,
165,20220801,97100,97200,98100,96500,2007646,195150654462,00,0.00,N,5,-800,
166,20220729,97900,99900,100000,97400,3899079,382602153100,00,0.00,N,5,-1500,
167,20220728,99400,101000,101500,98900,3359717,335356694300,00,0.00,N,5,-600,
168,20220727,100000,101000,101500,98600,3159499,315123152800,00,0.00,N,5,-500,
169,20220726,100500,100500,101000,99100,1636970,164328558800,00,0.00,N,2,500,
170,20220725,100000,99100,101500,98900,2185108,219113615100,00,0.00,N,3,0,
171,20220722,100000,102500,102500,100000,3126556,315391441000,00,0.00,N,5,-2500,
172,20220721,102500,102000,103000,100500,2143984,218487709000,00,0.00,N,2,500,
173,20220720,102000,103000,104500,101000,3981053,406686893500,00,0.00,N,2,2000,
174,20220719,100000,100000,100500,98700,2709084,269911638800,00,0.00,N,5,-1000,
175,20220718,101000,101000,103500,100000,4564780,464011815400,00,0.00,N,2,2300,
176,20220715,98700,95900,99000,95500,4457208,434627155600,00,0.00,N,2,4700,
177,20220714,94000,92800,95500,92300,2550307,239956379900,00,0.00,N,3,0,
178,20220713,94000,94600,96400,93800,2721816,258620343000,00,0.00,N,2,700,
179,20220712,93300,94000,94000,91700,2385688,221641294600,00,0.00,N,5,-400,
180,20220711,93700,95000,95700,93500,1885425,178083167400,00,0.00,N,5,-1100,
181,20220708,94800,95900,96500,94500,2814478,269081541900,00,0.00,N,2,900,
182,20220707,93900,91300,95200,91300,3330794,313090153800,00,0.00,N,2,1800,
183,20220706,92100,92800,93600,90900,3981326,367383115600,00,0.00,N,5,-400,
184,20220705,92500,90400,93400,90400,3560085,328065708900,00,0.00,N,2,3400,
185,20220704,89100,87500,89600,86300,4331728,382388292200,00,0.00,N,2,1600,
186,20220701,87500,91000,92500,87100,4959176,440689971812,00,0.00,N,5,-3500,
187,20220630,91000,91500,93100,91000,3098854,284596262600,00,0.00,N,5,-3000,
188,20220629,94000,93300,94900,92900,2529973,237096895400,05,0.00,N,5,-1300,
189,20220628,95300,94500,95300,93700,2022966,191563545550,00,0.00,N,2,300,
190,20220627,95000,92700,96100,92600,3408749,322782387700,00,0.00,N,2,3400,
